¤é´Á	´ú¯¸	´ú¶µ	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23
2017/01/01	³Á¼d	AMB_TEMP	20	20	19	19	18	17	18	18	19	20	22	23	23	23	23	22	22	21	21	21	21	21	21	21
2017/01/01	³Á¼d	CH4	2	2.2	2.2	2.4	3.4	3.6	3.3	2.8	2.5	2.2	2	2	1.9	1.8	1.8	1.8	1.8	1.8	1.9	1.8	1.9	1.9	1.9	2.2
2017/01/01	³Á¼d	CO	0.2	0.19	0.24	0.24	0.23	0.37	0.42	0.51	0.54	0.53	0.55	0.45	0.42	0.18	0.22	0.17	0.16	0.16	0.16	0.15	0.15	0.17	0.15	0.15
2017/01/01	³Á¼d	NMHC	0.04	0.05	0.08	0.11	0.12	0.13	0.13	0.19	0.18	0.16	0.14	0.12	0.1	0.02	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.02
2017/01/01	³Á¼d	NO	1.7	1.9	2	1.4	6.8	8.4	8.1	15	18	11	4.4	3	2.3	0.9	1.1	0.6	1.1	0.7	1.3	1	0.7	1.1	0.8	1.1
2017/01/01	³Á¼d	NO2	7.5	7.9	9.3	9.5	11	12	12	14	14	15	16	15	12	4.7	5.2	4.2	5.2	5.5	5.1	5.3	4.8	6.5	4.6	4.5
2017/01/01	³Á¼d	NOx	9.2	9.8	11	11	17	20	20	29	32	27	20	18	15	5.6	6.4	4.8	6.3	6.2	6.4	6.3	5.5	7.6	5.3	5.6
2017/01/01	³Á¼d	O3	25	18	13	8.5	1.8	2	1.9	2.9	5	13	36	43	52	54	52	51	49	46	43	39	39	36	38	35
2017/01/01	³Á¼d	PM10	67	52	59	53	37	57	41	60	50	74	125	119	125	105	123	94	80	69	68	58	59	61	57	57
2017/01/01	³Á¼d	PM2.5	18	14	17	24	25	28	33	36	41	46	60	68	66	52	39	36	28	29	26	24	26	29	28	25
2017/01/01	³Á¼d	RAINFALL	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
2017/01/01	³Á¼d	RH	88	88	89	90	90	91	91	92	93	93	93	81	76	79	80	82	84	85	87	87	87	87	87	88
2017/01/01	³Á¼d	SO2	1.5	2.1	2	1.8	1.7	2	2	2	1.9	3	6.3	4.5	4.9	3.3	2.7	1.9	2	1.9	1.8	2	1.8	2.3	1.8	1.8
2017/01/01	³Á¼d	THC	2	2.2	2.3	2.5	3.6	3.7	3.4	2.9	2.7	2.4	2.1	2.1	2	1.8	1.8	1.8	1.8	1.9	1.9	1.8	1.9	1.9	1.9	2.2
2017/01/01	³Á¼d	WD_HR	33	76	140	107	96	79	74	33	49	51	27	313	34	103	116	116	106	89	66	91	50	327	51	34
