"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.6","1013.0","1014.1","2018-05-01 08:44","1011.4","2018-05-01 17:06","28.3","31.1","2018-05-01 12:40","26.1","2018-05-01 04:00","22.7","72","65","2018-05-01 09:40","2.2","180","7.6","190","2018-05-01 12:45","0.0","0.0","0.0","","0.0","","8.0","61.9","21.92","11.7","5.2","11","2018-05-01 13:00","5.8"
"02","1012.1","1012.4","1014.2","2018-05-02 08:49","1010.4","2018-05-02 15:52","28.6","31.9","2018-05-02 11:12","25.6","2018-05-02 05:26","22.8","71","63","2018-05-02 10:54","2.2","250","6.5","310","2018-05-02 16:53","0.0","0.0","0.0","","0.0","","12.0","92.7","26.41","11.0","6.6","12","2018-05-02 12:00","1.8"
"03","1013.5","1013.9","1015.6","2018-05-03 22:00","1011.7","2018-05-03 00:01","29.1","32.8","2018-05-03 13:54","27.0","2018-05-03 00:30","22.5","68","59","2018-05-03 15:04","2.6","300","8.8","320","2018-05-03 12:48","0.0","0.0","0.0","","0.0","","9.6","74.0","22.02","10.0","6.6","10","2018-05-03 12:00","4.8"
"04","1015.5","1015.9","1017.4","2018-05-04 21:52","1013.8","2018-05-04 03:07","27.4","30.6","2018-05-04 11:38","25.7","2018-05-04 19:56","21.0","68","61","2018-05-04 11:38","1.9","290","7.1","310","2018-05-04 12:36","0.2","0.2","0.2","2018-05-04 17:11","0.2","2018-05-04 17:11","5.0","38.5","18.52","8.5","-5.1","10","2018-05-04 12:00","7.5"
"05","1015.5","1015.9","1017.5","2018-05-05 08:26","1013.6","2018-05-05 16:14","28.4","31.5","2018-05-05 12:17","25.2","2018-05-05 05:31","21.7","67","60","2018-05-05 12:40","2.0","290","6.4","160","2018-05-05 18:27","0.0","0.0","0.0","","0.0","","10.5","80.7","24.89","9.3","6.5","12","2018-05-05 13:00","4.2"
"06","1012.3","1012.7","1014.9","2018-05-06 00:01","1010.3","2018-05-06 16:12","29.0","32.2","2018-05-06 10:43","26.4","2018-05-06 04:50","23.1","71","62","2018-05-06 10:43","2.3","180","10.4","130","2018-05-06 09:37","0.0","0.0","0.0","","0.0","","10.0","76.8","24.61","12.0","7.0","13","2018-05-06 12:00","3.3"
"07","1009.5","1009.8","1011.4","2018-05-07 09:07","1007.5","2018-05-07 17:17","29.0","32.4","2018-05-07 14:50","26.6","2018-05-07 05:50","23.5","72","62","2018-05-07 13:28","1.1","210","6.1","250","2018-05-07 14:21","0.0","0.0","0.0","","0.0","","6.5","49.8","19.53","10.7","-3.8","11","2018-05-07 14:00","5.3"
"08","1009.2","1009.6","1011.5","2018-05-08 22:30","1007.0","2018-05-08 03:02","27.0","29.0","2018-05-08 14:06","24.0","2018-05-08 08:59","22.6","77","70","2018-05-08 02:45","1.4","170","7.2","360","2018-05-08 06:59","45.5","4.6","10.0","2018-05-08 07:01","23.0","2018-05-08 06:57","1.8","13.8","8.27","10.3","-3.1","9","2018-05-08 12:00","9.2"
"09","1013.0","1013.4","1015.6","2018-05-09 22:28","1009.8","2018-05-09 02:48","26.6","30.3","2018-05-09 12:23","23.2","2018-05-09 06:31","22.0","76","66","2018-05-09 11:53","2.0","310","8.0","70","2018-05-09 05:37","12.5","4.9","3.5","2018-05-09 08:01","8.0","2018-05-09 07:33","3.2","24.5","15.94","11.3","-3.7","10","2018-05-09 13:00","8.7"
"10","1014.5","1014.9","1015.9","2018-05-10 09:44","1013.3","2018-05-10 15:54","26.4","29.2","2018-05-10 12:31","24.8","2018-05-10 03:32","21.7","75","67","2018-05-10 16:45","1.7","290","7.2","290","2018-05-10 13:52","0.5","0.2","0.5","2018-05-10 05:20","0.5","2018-05-10 05:20","3.0","22.9","17.31","9.7","5.4","10","2018-05-10 13:00","9.7"
