ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpHrMax	PrecpHrMaxTime	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	1004.6	1004.9	1006.1	2018/7/1 00:10	1003.3	2018/7/1 13:40	28.8	33.1	2018/7/1 15:20	26.6	2018/7/1 20:39	24.1	76	67	2018/7/1 15:20	2.3	290	11.2	280	2018/7/1 16:09	0	0	0		0		6.9	51.3	20.99	10.7	-3.6	10	2018/7/1 11:00	6.7
2	1004.6	1005	1006	2018/7/2 22:13	1003.1	2018/7/2 03:29	26.8	29.4	2018/7/2 08:59	25.1	2018/7/2 13:41	23.4	82	75	2018/7/2 00:24	2.1	280	11.4	330	2018/7/2 09:50	80	8.6	12.5	2018/7/2 10:56	17	2018/7/2 15:24	0	0	0.04	8	/	1	2018/7/2 13:00	9.8
3	1004.6	1005	1006.1	2018/7/3 08:57	1003.2	2018/7/3 16:14	26.7	32.3	2018/7/3 15:35	24.3	2018/7/3 05:24	23.6	83	73	2018/7/3 16:35	1.8	60	9.7	350	2018/7/3 10:08	92	5.6	8.5	2018/7/3 10:02	21	2018/7/3 00:47	2.3	17.1	9.2	8.5	/	9	2018/7/3 14:00	9.6
4	1004.2	1004.6	1006.3	2018/7/4 08:29	1002.7	2018/7/4 16:13	26.2	28.1	2018/7/4 15:59	25	2018/7/4 12:04	23.3	84	80	2018/7/4 17:43	1.4	50	7.6	300	2018/7/4 11:38	59.5	13.7	6.5	2018/7/4 13:17	14.5	2018/7/4 11:01	0	0	3.45	7.2	-6.2	2	2018/7/4 14:00	9.8
5	1004.2	1004.6	1005.8	2018/7/5 11:13	1002.9	2018/7/5 04:28	26.8	28.7	2018/7/5 13:53	25.2	2018/7/5 11:22	23.7	83	77	2018/7/5 14:29	1.3	70	8.3	350	2018/7/5 14:21	32	6.5	7.5	2018/7/5 11:38	23	2018/7/5 10:49	0	0	4.96	8.5	-1.4	4	2018/7/5 14:00	9.9
6	1004.1	1004.5	1005.8	2018/7/6 08:40	1002.8	2018/7/6 16:46	28.1	31.6	2018/7/6 12:34	25	2018/7/6 09:18	24	79	67	2018/7/6 18:06	1.2	160	5.6	230	2018/7/6 14:30	12.5	3.7	2.5	2018/7/6 03:29	5.5	2018/7/6 07:52	0.9	6.7	11.74	8.2	-7.8	10	2018/7/6 13:00	9.4
7	1005	1005.4	1006.6	2018/7/7 21:50	1003.7	2018/7/7 16:30	27.9	31.3	2018/7/7 13:05	25.4	2018/7/7 04:29	23.9	79	72	2018/7/7 13:49	1.6	170	7.7	200	2018/7/7 02:20	8.5	3.6	2.5	2018/7/7 15:20	5.5	2018/7/7 15:20	0.3	2.2	13.75	10.7	-2.7	9	2018/7/7 13:00	9.2
8	1005.5	1005.9	1007.6	2018/7/8 23:05	1003.7	2018/7/8 16:10	29.5	33.9	2018/7/8 11:10	25.2	2018/7/8 05:43	24.1	73	62	2018/7/8 11:19	1.6	170	8.2	190	2018/7/8 12:16	0	0	0		0		10.8	80.5	21.24	12	5.9	10	2018/7/8 11:00	4.6
9	1006.2	1006.5	1008.2	2018/7/9 09:29	1004.1	2018/7/9 17:02	30.1	32.8	2018/7/9 15:25	26.5	2018/7/9 05:14	24.9	74	66	2018/7/9 12:59	2.2	310	8.3	310	2018/7/9 12:26	0	0	0		0		10.8	80.6	24.46	10.3	6.1	12	2018/7/9 12:00	2.5
10	1002.7	1003	1006.4	2018/7/10 00:14	999.8	2018/7/10 17:33	30.3	32.7	2018/7/10 13:32	27.7	2018/7/10 04:30	24.7	72	61	2018/7/10 16:59	3	310	11.5	360	2018/7/10 21:58	0	0	0		0		10.1	75.4	24.05	11.3	7.5	12	2018/7/10 12:00	3.2
11	1001.9	1002.2	1005.8	2018/7/11 21:37	998.5	2018/7/11 05:16	30.1	32.4	2018/7/11 14:51	28.6	2018/7/11 00:54	24.6	73	67	2018/7/11 17:01	3.3	160	9.3	320	2018/7/11 01:19	0	0	0		0		9.5	71	23.05	11	4.9	13	2018/7/11 13:00	6.8
12	1005.5	1005.8	1007.6	2018/7/12 22:12	1003.9	2018/7/12 04:15	29.1	31.8	2018/7/12 10:24	27.6	2018/7/12 06:20	23.8	73	65	2018/7/12 02:17	2.2	170	9.6	150	2018/7/12 01:41	0.5	1.1	0.5	2018/7/12 22:05	0.5	2018/7/12 22:05	1.5	11.2	13.77	11	-3.5	8	2018/7/12 11:00	9.1
13	1006	1006.4	1007.3	2018/7/13 22:59	1004.1	2018/7/13 15:59	29.8	33.9	2018/7/13 13:00	25.7	2018/7/13 05:27	24.3	73	60	2018/7/13 13:57	2.5	170	11.4	150	2018/7/13 13:25	7	3.6	1	2018/7/13 04:54	3.5	2018/7/13 04:51	7	52.4	22.97	10.3	6.5	11	2018/7/13 12:00	6.9
14	1005.7	1006	1006.8	2018/7/14 22:50	1004	2018/7/14 16:04	29.5	33.4	2018/7/14 12:50	27.2	2018/7/14 05:08	24	73	65	2018/7/14 12:49	1.9	300	8.2	360	2018/7/14 17:29	1	0.5	1	2018/7/14 15:44	1	2018/7/14 15:44	8.2	61.4	20.02	9.3	-4.8	12	2018/7/14 13:00	4
15	1005.3	1005.6	1006.5	2018/7/15 00:09	1004.2	2018/7/15 16:46	29.2	32.5	2018/7/15 12:35	26.5	2018/7/15 05:12	24.4	75	70	2018/7/15 12:35	1.9	300	7.3	290	2018/7/15 14:34	0	0	0		0		6.2	46.5	19.36	10.7	5.2	13	2018/7/15 13:00	7
16	1003.1	1003.4	1005	2018/7/16 00:01	1001.6	2018/7/16 23:36	29.8	32.9	2018/7/16 11:14	27.6	2018/7/16 05:31	24.5	74	60	2018/7/16 11:03	2.1	280	6.3	300	2018/7/16 12:35	0	0	0	2018/7/16 00:00	0	2018/7/16 00:00	7.1	53.2	18.33	10	4.8	12	2018/7/16 12:00	4.9
17	1002	1002.3	1003.4	2018/7/17 21:47	1000.3	2018/7/17 15:51	30.7	33.5	2018/7/17 10:33	28.6	2018/7/17 05:09	25.4	73	63	2018/7/17 11:35	2.6	300	7.8	290	2018/7/17 12:24	0	0	0	2018/7/17 00:00	0	2018/7/17 00:00	10.4	78	23.98	10	6.2	12	2018/7/17 12:00	4.5
18	1004	1004.3	1005.8	2018/7/18 21:29	1002.6	2018/7/18 03:04	30.6	33.9	2018/7/18 12:17	29	2018/7/18 06:11	25.5	74	67	2018/7/18 12:08	2.2	310	8.8	290	2018/7/18 14:29	0	0	0	2018/7/18 00:00	0	2018/7/18 00:00	7.6	57.1	20.17	11.3	-5.4	12	2018/7/18 13:00	6.1
19	1005.5	1005.9	1008.2	2018/7/19 19:47	1004.2	2018/7/19 15:08	29.4	33	2018/7/19 13:40	25.2	2018/7/19 19:56	24.7	76	69	2018/7/19 13:33	2.1	280	7.4	280	2018/7/19 13:58	68.5	2.9	19	2018/7/19 19:46	63	2018/7/19 19:20	9.2	69.2	22.87	10	/	11	2018/7/19 12:00	5
20	1003.6	1003.9	1005.5	2018/7/20 00:01	1001.7	2018/7/20 15:56	29	31.9	2018/7/20 14:38	26.3	2018/7/20 00:49	24.6	77	72	2018/7/20 15:16	1.8	300	6.5	300	2018/7/20 13:31	0.5	0.1	0.5	2018/7/20 09:50	0.5	2018/7/20 09:50	8	60.2	20.75	10.3	-7.8	11	2018/7/20 13:00	5.2
21	1000.6	1000.9	1003.1	2018/7/21 00:01	998.6	2018/7/21 15:06	29.4	32.3	2018/7/21 12:39	26.9	2018/7/21 04:10	24.6	76	68	2018/7/21 18:14	1.9	70	7.7	50	2018/7/21 18:29	0	0	0	2018/7/21 00:00	0	2018/7/21 00:00	11.3	85.1	24.57	10	6.5	12	2018/7/21 13:00	4.8
22	1001.3	1001.6	1004	2018/7/22 21:58	999.4	2018/7/22 02:39	29.2	32.8	2018/7/22 14:23	26.9	2018/7/22 05:39	24.5	76	70	2018/7/22 09:02	2.1	70	7.3	300	2018/7/22 13:44	T	0.3	T	2018/7/22 20:50	T	2018/7/22 20:50	5.7	43	19.09	9.7	-4.9	11	2018/7/22 14:00	8.5
23	1004.2	1004.5	1006.4	2018/7/23 22:16	1002.3	2018/7/23 04:11	30.1	32.6	2018/7/23 11:22	27.5	2018/7/23 05:58	25	74	69	2018/7/23 10:28	1.6	260	6.8	250	2018/7/23 09:28	0	0	0	2018/7/23 00:00	0	2018/7/23 00:00	8.4	63.4	20.49	12	-5.5	12	2018/7/23 12:00	6.6
24	1006.4	1006.7	1007.6	2018/7/24 10:02	1005	2018/7/24 03:20	29.2	32.2	2018/7/24 14:15	26.6	2018/7/24 10:08	25	78	74	2018/7/24 14:31	1.4	80	6	210	2018/7/24 14:19	35.5	2.9	11.5	2018/7/24 09:57	25	2018/7/24 09:30	2.2	16.6	10.6	9.2	-6	10	2018/7/24 14:00	7.6
25	1006.9	1007.3	1007.9	2018/7/25 10:19	1005.6	2018/7/25 14:50	28.6	32.8	2018/7/25 12:27	26.3	2018/7/25 05:25	24	77	72	2018/7/25 08:53	1.7	50	7.7	80	2018/7/25 17:00	0	0	0	2018/7/25 00:00	0	2018/7/25 00:00	6.1	46.1	14.69	10.7	4.6	10	2018/7/25 12:00	6.3
26	1006.8	1007.1	1008	2018/7/26 08:23	1004.9	2018/7/26 17:27	29.4	33.4	2018/7/26 13:44	26.4	2018/7/26 05:12	24.3	74	66	2018/7/26 10:41	1.9	280	8.9	360	2018/7/26 17:57	11	1.8	8.5	2018/7/26 17:57	9	2018/7/26 17:07	8.1	61.3	19.52	11	-4.4	9	2018/7/26 12:00	6.8
27	1006.9	1007.2	1008.7	2018/7/27 21:54	1005.7	2018/7/27 03:03	28.7	32.3	2018/7/27 13:16	26.8	2018/7/27 02:31	24.5	79	70	2018/7/27 13:13	1.4	60	6.3	70	2018/7/27 16:11	1.5	1.9	0.5	2018/7/27 15:20	1	2018/7/27 15:20	5.8	44	17.32	10.8	-3.9	8	2018/7/27 11:00	5.4
