stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2018010100 01 1022.3 00011  15.9  10.7  74   2.3  71
466920 2018010100 06 1009.6 00117  15.1  10.4  87   5.6  73
466920 2018010100 10 1000.0 00198  14.4  10.1  85   7.5  75
466920 2018010100 06  939.5 00723  10.1   8.8  81  14.2  91
466920 2018010100 10  925.0 00851   9.5   7.9  89  12.8  89
466920 2018010100 06  877.7 01286   6.7   6.7 115  12.0 100
466920 2018010100 02  869.9 01359   6.5   6.4 122  10.2  99
466920 2018010100 06  852.7 01524   6.8   5.7 136   5.4  92
466920 2018010100 10  850.0 01549   7.0   5.7 140   4.9  91
466920 2018010100 04  841.7 01629   6.8   5.6 177   3.8  91
466920 2018010100 06  834.4 01701   7.6   5.9 215   5.0  88
466920 2018010100 02  831.9 01726   7.8   6.1 223   5.7  88
466920 2018010100 06  793.8 02112   5.9   3.3 256  10.1  83
466920 2018010100 02  788.2 02170   6.1   1.6 259  10.1  73
466920 2018010100 02  742.0 02662   1.7  -0.1 261   9.1  87
466920 2018010100 06  730.1 02792   0.9  -2.0 257   9.7  81
466920 2018010100 06  713.3 02979   0.4  -7.7 277  10.7  54
466920 2018010100 02  711.1 03004   0.4  -8.8 277  10.8  50
466920 2018010100 10  700.0 03131  -0.5  -9.2 273  10.5  52
466920 2018010100 02  675.6 03412  -2.1 -12.7 292  11.4  43
466920 2018010100 02  669.3 03487  -2.4 -10.0 293  13.2  55
466920 2018010100 06  645.1 03780  -1.2 -20.0 297  19.1  22
466920 2018010100 02  624.1 04045   0.3 -28.0 291  22.4   9
466920 2018010100 02  583.7 04578  -2.5 -33.2 282  24.5   7
466920 2018010100 02  522.5 05453  -3.0 -46.1 277  30.2   2
466920 2018010100 10  500.0 05802  -4.7 -33.7 271  31.6   8
466920 2018010100 06  471.7 06256  -8.8 -27.9 267  31.5  19
466920 2018010100 02  455.2 06533 -11.1 -31.2 266  32.1  17
466920 2018010100 02  448.7 06639 -10.4 -35.3 269  35.2  11
466920 2018010100 06  428.5 06993 -11.7 -35.2 275  39.5  12
466920 2018010100 02  421.4 07120 -12.0 -38.8 278  39.4   8
466920 2018010100 10  400.0 07517 -15.5 -35.4 276  38.2  16
466920 2018010100 02  384.4 07819 -17.5 -51.6 275  39.3   3
466920 2018010100 04  362.9 08246 -20.5 -40.8 274  40.6  14
466920 2018010100 02  342.6 08668 -24.0 -38.3 277  39.6  25
466920 2018010100 04  320.8 09145 -28.0 -43.2 269  37.1  22
466920 2018010100 10  300.0 09620 -32.0 -46.6 269  38.8  22
466920 2018010100 02  288.6 09893 -34.1 -57.1 268  38.9   8
466920 2018010100 02  270.1 10353 -38.4 -52.0 269  42.1  22
466920 2018010100 02  267.5 10418 -38.8 -46.1 269  41.8  46
466920 2018010100 02  252.9 10803 -42.3 -49.9 268  43.3  43
466920 2018010100 10  250.0 10879 -42.7 -51.6 268  43.8  37
466920 2018010100 02  245.5 10999 -43.8 -51.3 265  43.9  43
466920 2018010100 02  236.3 11258 -44.8 -58.3 262  45.5  21
466920 2018010100 02  234.8 11298 -44.6 -65.5 263  46.1   8
466920 2018010100 02  232.1 11376 -45.1 -56.5 265  47.1  27
466920 2018010100 05  230.1 11435 -45.5 -58.3 266  47.4  22
466920 2018010100 02  208.1 12095 -50.2 -65.8 269  45.4  14
466920 2018010100 10  200.0 12354 -52.7 -66.9 272  43.8  17
466920 2018010100 02  171.8 13318 -60.7 -76.7 276  42.8  10
466920 2018010100 10  150.0 14147 -67.8 -76.9 275  42.3  27
466920 2018010100 02  141.8 14481 -70.9 -76.0 273  40.5  47
466920 2018010100 04  126.9 15132 -73.8 -82.6 265  41.6  26
466920 2018010100 02  116.7 15621 -75.9 -85.5 270  37.7  22
466920 2018010100 02  111.7 15876 -76.2 -88.2 272  37.0  14
466920 2018010100 02  100.1 16502 -79.0 -88.6 273  31.9  21
466920 2018010100 10  100.0 16506 -79.1 -88.6 273  31.9  21
466920 2018010100 06   92.3 16957 -81.2 -89.7 262  29.5  24
466920 2018010100 03   88.7 17182 -82.9 -90.8 272  31.2  26
466920 2018010100 06   80.1 17756 -80.9 -90.1 276  30.2  21
466920 2018010100 06   74.0 18203 -79.3 -89.1 300  18.5  20
466920 2018010100 02   73.8 18215 -79.2 -89.1 300  18.4  20
466920 2018010100 02   70.3 18491 -80.5 -89.8 280  18.9  21
466920 2018010100 10   70.0 18516 -80.2 -89.8 278  19.0  20
466920 2018010100 06   67.9 18690 -77.8 -89.2 276  19.8  16
466920 2018010100 06   65.7 18877 -76.3 -89.1 292  14.9  12
466920 2018010100 06   60.7 19343 -71.7 -90.2 280   9.8   5
466920 2018010100 04   58.8 19529 -70.2 -90.6 248   6.4   4
