stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2018030100 01 1013.1 00011  15.5  15.5  65   0.5 100
466920 2018030100 02 1009.9 00038  16.8  15.9  54   0.6  94
466920 2018030100 10 1000.0 00121  16.2  15.5  51   2.2  95
466920 2018030100 02  984.3 00258  15.7  15.0  69   7.8  95
466920 2018030100 06  965.5 00421  16.3  13.4  71  12.1  83
466920 2018030100 02  947.2 00584  16.9  13.2  89   9.9  78
466920 2018030100 10  925.0 00786  16.3  13.3 118   9.2  82
466920 2018030100 06  919.7 00835  16.1  12.9 123   9.6  81
466920 2018030100 06  906.7 00957  16.2  11.6 123   8.4  74
466920 2018030100 02  901.3 01009  16.1  10.9 112   7.0  71
466920 2018030100 02  898.2 01037  18.1   4.7 102   6.2  41
466920 2018030100 02  891.3 01105  18.5  -0.4  76   5.7  27
466920 2018030100 06  888.2 01133  18.4  -2.5  68   5.8  23
466920 2018030100 06  861.6 01393  16.8 -15.4  48   6.2   9
466920 2018030100 02  852.5 01481  16.4 -18.0  25   5.5   7
466920 2018030100 10  850.0 01507  16.4 -17.4  17   5.3   8
466920 2018030100 04  817.3 01839  14.3 -13.9 337   1.1  12
466920 2018030100 02  803.3 01983  14.1 -14.9 277   3.3  11
466920 2018030100 06  791.2 02112  13.2 -16.2 272   5.0  11
466920 2018030100 06  756.1 02490   9.5 -17.1 246   5.5  13
466920 2018030100 02  737.5 02697   7.5 -17.5 250   7.5  15
466920 2018030100 06  719.6 02897   7.0 -27.6 257   8.0   6
466920 2018030100 02  712.4 02981   6.4 -28.8 254   7.8   5
466920 2018030100 02  706.4 03050   7.7 -42.7 250   8.0   1
466920 2018030100 10  700.0 03124   7.3 -44.2 246   8.5   1
466920 2018030100 06  696.4 03167   7.0 -44.2 247   8.8   1
466920 2018030100 02  674.0 03433   6.1 -44.8 270  11.0   1
466920 2018030100 06  626.4 04027   0.5 -40.3 273   9.9   2
466920 2018030100 02  611.9 04215  -1.1 -41.6 263   8.9   2
466920 2018030100 04  591.9 04479  -1.8 -50.3 251   5.9   1
466920 2018030100 02  564.3 04855  -3.9 -56.2 239   7.3   0
466920 2018030100 06  536.2 05255  -7.2 -57.5 222   9.7   0
466920 2018030100 06  504.5 05726 -10.3 -53.2 265  12.2   1
466920 2018030100 10  500.0 05795 -10.8 -52.8 269  12.3   1
466920 2018030100 06  482.2 06074 -12.8 -51.4 283  13.9   2
466920 2018030100 04  458.8 06452 -15.4 -51.6 284  13.3   2
466920 2018030100 06  424.8 07028 -19.3 -56.8 266  19.4   2
466920 2018030100 02  408.5 07317 -21.7 -55.4 269  21.0   3
466920 2018030100 10  400.0 07472 -22.1 -57.9 274  25.6   2
466920 2018030100 06  395.6 07552 -22.2 -59.2 276  26.2   2
466920 2018030100 02  378.0 07885 -23.3 -58.0 270  33.2   2
466920 2018030100 02  336.0 08737 -29.4 -53.2 265  41.2   8
466920 2018030100 02  303.7 09448 -35.0 -41.4 268  50.5  52
466920 2018030100 02  301.6 09498 -34.9 -45.2 268  51.5  34
466920 2018030100 04  300.7 09515 -35.0 -44.8 267  51.7  36
466920 2018030100 10  300.0 09536 -35.2 -44.4 267  51.9  38
466920 2018030100 02  292.9 09703 -36.8 -44.9 266  51.8  42
466920 2018030100 02  292.2 09716 -36.9 -47.0 266  51.9  34
466920 2018030100 02  291.3 09742 -36.4 -55.2 265  52.1  12
466920 2018030100 02  286.8 09848 -36.1 -56.1 262  54.0  11
466920 2018030100 02  273.3 10180 -36.7 -64.2 254  53.8   4
466920 2018030100 02  273.0 10186 -36.7 -64.1 254  53.8   4
466920 2018030100 06  260.2 10520 -39.3 -63.4 254  56.5   6
466920 2018030100 10  250.0 10793 -40.8 -67.5 256  55.2   4
466920 2018030100 05  236.3 11172 -44.4 -68.7 256  57.7   5
466920 2018030100 02  221.1 11617 -47.6 -71.0 256  52.7   5
466920 2018030100 10  200.0 12271 -51.1 -75.8 254  54.5   3
466920 2018030100 04  183.9 12817 -54.1 -79.5 260  55.7   3
466920 2018030100 10  150.0 14093 -63.1 -85.1 266  45.2   4
466920 2018030100 02  138.2 14594 -67.1 -84.4 265  42.9   7
466920 2018030100 06  114.5 15717 -72.1 -88.1 281  35.2   8
466920 2018030100 04  108.4 16039 -72.8 -89.2 275  31.6   7
466920 2018030100 02  100.1 16502 -75.8 -89.8 274  32.0  10
466920 2018030100 10  100.0 16508 -75.8 -89.8 274  32.0  10
466920 2018030100 06   90.1 17111 -76.3 -90.8 260  24.0   9
466920 2018030100 06   73.5 18262 -82.2 -91.1 285  13.9  22
466920 2018030100 03   71.7 18404 -82.8 -91.3 277   9.8  24
466920 2018030100 06   70.6 18489 -82.8 -91.1 269   8.7  24
466920 2018030100 10   70.0 18536 -82.9 -91.2 271   9.0  24
466920 2018030100 02   68.2 18676 -83.3 -92.0 272  10.0  22
466920 2018030100 02   66.8 18798 -82.9 -93.3 275   8.9  17
466920 2018030100 02   64.6 18985 -74.5 -90.4 260   2.8   7
466920 2018030100 04   58.5 19558 -75.3 -90.9 290   0.0   8
466920 2018030100 02   56.2 19793 -76.3 -91.1 263   1.5   9
466920 2018030100 06   54.9 19929 -75.8 -91.4 272   5.1   7
466920 2018030100 06   53.5 20079 -74.3 -91.9 297   7.1   5
466920 2018030100 06   51.7 20277 -72.3 -92.7 253   6.3   3
466920 2018030100 02   51.1 20346 -70.8 -92.3 249   6.8   3
466920 2018030100 10   50.0 20476 -70.9 -92.2 243   6.9   3
466920 2018030100 02   48.9 20609 -71.5 -92.1 238   8.3   3
466920 2018030100 06   48.8 20622 -71.5 -92.1 238   8.4   3
466920 2018030100 06   47.4 20788 -70.9 -92.2 248  10.6   3
466920 2018030100 04   44.8 21122 -69.0 -91.8 244   4.2   2
466920 2018030100 06   44.1 21224 -69.1 -91.7 234   5.2   2
466920 2018030100 06   42.3 21472 -67.5 -92.1 275  10.5   2
466920 2018030100 06   39.0 21965 -63.4 -91.1 273  10.4   1
466920 2018030100 06   37.4 22218 -62.0 -90.5 244  13.9   1
466920 2018030100 06   36.1 22435 -61.5 -89.5 256  11.7   1
466920 2018030100 02   33.1 22974 -59.4 -88.6 243  14.2   1
466920 2018030100 06   31.8 23233 -60.2 -88.7 243  10.5   1
466920 2018030100 04   31.3 23316 -59.3 -88.4 250   9.5   1
466920 2018030100 10   30.0 23595 -60.2 -87.9 267  13.0   1
466920 2018030100 04   29.2 23768 -60.9 -88.7 276  15.1   1
466920 2018030100 02   29.0 23801 -60.9 -88.9 279  15.1   1
466920 2018030100 06   28.0 24019 -59.3 -88.6 303  12.5   1
466920 2018030100 06   27.3 24184 -59.0 -88.1 297   9.8   1
466920 2018030100 06   26.6 24353 -58.6 -87.9 269   7.3   1
466920 2018030100 04   26.3 24419 -58.2 -87.6 247   6.4   1
466920 2018030100 06   25.9 24523 -58.4 -87.4 216   7.5   1
466920 2018030100 06   25.4 24641 -59.0 -87.4 208   9.5   1
466920 2018030100 02   24.6 24826 -58.9 -88.0 221  10.8   1
466920 2018030100 04   23.8 25037 -55.0 -87.7 244  11.9   0
466920 2018030100 02   23.1 25238 -51.9 -85.3 258  10.8   0
466920 2018030100 06   22.3 25474 -53.0 -84.4 281  11.2   1
466920 2018030100 02   22.0 25544 -53.5 -84.8 283  10.6   1
466920 2018030100 06   21.9 25582 -53.2 -84.8 280   9.8   1
466920 2018030100 06   21.3 25769 -51.7 -84.7 249   7.5   1
466920 2018030100 02   20.7 25948 -50.7 -83.9 250   6.3   1
466920 2018030100 04   20.6 25989 -50.7 -83.7 244   6.2   1
466920 2018030100 16   20.0 26174 -51.8 -83.6 219   8.8   1
466920 2018030100 06   19.2 26436 -53.9 -84.4 211  11.4   1
466920 2018030100 03   18.7 26613 -54.6 -85.2 223  11.3   1
466920 2018030100 06   17.4 27076 -54.2 -85.0 246   7.5   1
466920 2018030100 06   16.5 27402 -55.9 -85.6 240   9.2   1
466920 2018030100 02   16.3 27490 -56.2 -86.0 243   9.6   1
466920 2018030100 06   15.5 27796 -54.5 -85.9 263  10.9   1
466920 2018030100 06   13.5 28673 -48.8 -83.6 282  11.2   0
466920 2018030100 02   13.2 28836 -47.5 -82.8 281  10.6   0
466920 2018030100 06   11.3 29853 -47.0 -82.5 274  10.9   0
466920 2018030100 02   11.1 29965 -46.3 -82.1 275  11.3   0
466920 2018030100 06   10.3 30492 -46.6 -82.0 288  14.5   0
466920 2018030100 20    9.6 30957 -45.4 -81.5 266  11.7   0
466920 2018030112 01 1011.2 00011  21.9  16.6  71   3.5  72
466920 2018030112 04 1010.3 00018  21.9  17.3  61   3.1  75
466920 2018030112 06 1003.6 00076  21.5  16.8  54   5.2  74
466920 2018030112 10 1000.0 00108  21.2  16.7  57   6.2  75
466920 2018030112 06  962.0 00444  18.6  16.1 114   9.9  85
466920 2018030112 04  934.8 00691  17.2  15.4 126  13.0  89
466920 2018030112 02  928.6 00743  17.0  15.1 130  12.5  88
466920 2018030112 10  925.0 00778  17.1  14.8 134  11.8  86
466920 2018030112 02  913.6 00886  17.9  13.5 143   9.7  75
466920 2018030112 06  892.2 01087  16.8  12.6 154   6.4  75
466920 2018030112 06  859.6 01403  15.5  11.3 222   3.4  76
466920 2018030112 10  850.0 01499  14.6  10.9 227   4.7  78
466920 2018030112 02  841.9 01581  13.8  10.6 228   6.8  80
466920 2018030112 02  821.7 01785  13.1   4.4 244   9.6  55
466920 2018030112 06  799.1 02019  11.0   7.4 245  11.1  78
466920 2018030112 02  782.6 02194   9.4   8.0 234  12.4  90
466920 2018030112 02  774.1 02284   9.9   4.0 235  13.4  66
466920 2018030112 02  741.0 02645   7.5   0.1 229  14.9  59
466920 2018030112 02  729.0 02783   6.4   0.9 224  15.8  67
466920 2018030112 06  727.9 02792   6.3   0.6 224  15.9  66
466920 2018030112 02  720.0 02883   6.3  -4.9 228  15.4  44
466920 2018030112 06  702.2 03087   7.1 -13.8 255  16.6  20
466920 2018030112 10  700.0 03113   7.5 -13.4 256  16.5  21
466920 2018030112 02  699.5 03119   7.5 -11.7 256  16.5  23
466920 2018030112 06  661.7 03573   3.5  -6.1 266  18.6  49
466920 2018030112 02  631.9 03944   0.3  -3.9 257  21.2  73
466920 2018030112 04  575.2 04692  -6.0  -8.8 256  28.2  80
466920 2018030112 02  559.2 04912  -8.1 -10.0 254  27.7  86
466920 2018030112 02  554.5 04978  -8.7 -12.0 253  27.0  76
466920 2018030112 02  554.0 04982  -8.7 -13.5 253  27.0  68
466920 2018030112 02  552.8 05003  -7.5 -25.1 253  26.8  23
466920 2018030112 02  548.8 05058  -6.6 -41.1 253  26.2   4
466920 2018030112 02  532.4 05292  -7.2 -45.7 255  21.7   2
466920 2018030112 10  500.0 05782  -7.8 -54.8 255  23.9   1
466920 2018030112 02  499.7 05786  -7.8 -54.9 255  23.9   1
466920 2018030112 04  479.1 06113 -10.0 -56.5 252  19.8   1
466920 2018030112 06  457.9 06457 -12.9 -58.0 247  22.0   1
466920 2018030112 02  431.7 06906 -16.3 -59.9 253  25.8   1
466920 2018030112 06  426.1 07004 -16.5 -57.9 260  28.7   1
466920 2018030112 02  408.9 07311 -17.2 -44.6 254  31.8   7
466920 2018030112 10  400.0 07476 -18.6 -41.7 256  31.6  11
466920 2018030112 02  382.3 07812 -21.5 -33.1 263  37.4  34
466920 2018030112 02  337.1 08728 -29.3 -43.3 266  42.1  24
466920 2018030112 02  334.0 08793 -27.8 -67.9 265  41.5   1
466920 2018030112 06  306.8 09399 -30.8 -62.6 263  47.9   2
466920 2018030112 10  300.0 09557 -31.0 -65.4 265  47.3   2
466920 2018030112 02  291.1 09769 -32.2 -65.8 266  44.8   2
466920 2018030112 10  250.0 10824 -40.3 -70.5 262  47.3   2
466920 2018030112 10  200.0 12308 -52.5 -74.4 261  48.5   5
466920 2018030112 02  181.1 12941 -57.8 -75.6 264  49.9   9
466920 2018030112 05  180.7 12959 -57.9 -75.6 264  49.9   9
466920 2018030112 10  150.0 14110 -64.2 -85.4 275  46.3   4
466920 2018030112 06  143.4 14386 -66.5 -84.6 277  43.3   6
466920 2018030112 02  134.5 14767 -68.6 -87.4 267  41.8   5
466920 2018030112 06  126.2 15152 -69.9 -88.1 256  41.0   6
466920 2018030112 02  100.1 16506 -76.5 -90.6 271  29.7  10
466920 2018030112 10  100.0 16510 -76.5 -90.6 271  29.7  10
466920 2018030112 06   82.7 17593 -80.1 -91.9 267  18.3  13
466920 2018030112 06   76.9 18001 -81.3 -91.8 231  15.7  17
466920 2018030112 10   70.0 18526 -84.7 -92.6 248  19.7  25
466920 2018030112 03   69.1 18597 -85.1 -93.3 248  20.0  24
466920 2018030112 02   66.6 18800 -82.8 -93.5 251  19.8  16
466920 2018030112 04   65.2 18922 -78.7 -92.7 258  20.0   9
466920 2018030112 06   63.2 19101 -74.3 -92.3 267  17.1   5
466920 2018030112 02   61.6 19249 -71.5 -93.1 264  12.9   3
466920 2018030112 02   60.2 19391 -71.3 -94.3 256   8.9   2
466920 2018030112 04   59.0 19501 -71.8 -94.8 244   6.8   2
466920 2018030112 06   57.5 19653 -72.1 -93.9 230   7.3   2
466920 2018030112 04   52.2 20235 -67.0 -93.2 244   2.9   1
466920 2018030112 06   50.9 20387 -67.3 -92.9 269   5.8   1
466920 2018030112 10   50.0 20493 -67.5 -93.2 252   5.7   1
466920 2018030112 06   49.3 20580 -66.3 -93.3 227   7.0   1
466920 2018030112 06   47.8 20768 -65.4 -93.5 232  12.2   1
466920 2018030112 06   46.1 20989 -64.2 -93.3 264  12.1   1
466920 2018030112 06   42.3 21514 -62.9 -92.8 252   9.3   1
466920 2018030112 06   40.8 21734 -62.2 -92.7 235  13.6   0
466920 2018030112 06   38.2 22148 -61.6 -92.0 256  18.1   0
466920 2018030112 06   36.0 22512 -62.4 -93.0 241  13.8   0
466920 2018030112 06   32.7 23123 -59.7 -91.4 260  14.3   0
466920 2018030112 06   31.5 23351 -58.3 -91.7 250  11.3   0
466920 2018030112 02   31.3 23392 -58.0 -91.4 253  10.8   0
466920 2018030112 10   30.0 23653 -59.0 -90.7 276   8.9   0
466920 2018030112 06   29.6 23746 -59.1 -91.0 278   6.5   0
466920 2018030112 04   29.0 23875 -58.9 -91.1 246   3.8   0
466920 2018030112 06   28.6 23961 -58.8 -90.9 219   5.1   0
466920 2018030112 06   27.3 24243 -60.7 -90.8 207   9.2   1
466920 2018030112 02   26.7 24374 -61.7 -92.0 220  10.6   1
466920 2018030112 06   26.0 24545 -60.6 -92.2 242  12.7   0
466920 2018030112 06   24.6 24883 -57.0 -91.5 221  14.5   0
466920 2018030112 06   23.5 25191 -55.6 -90.0 249   9.5   0
466920 2018030112 02   22.9 25350 -54.5 -89.3 248   8.2   0
466920 2018030112 06   22.4 25487 -55.7 -89.4 247   8.3   0
466920 2018030112 06   21.6 25733 -55.3 -89.5 290   8.4   0
466920 2018030112 04   21.0 25900 -56.1 -89.6 290   6.9   0
466920 2018030112 02   20.8 25972 -56.3 -90.0 291   7.4   0
466920 2018030112 10   20.0 26209 -54.1 -89.6 305   7.7   0
466920 2018030112 06   19.8 26276 -53.8 -89.3 305   7.7   0
466920 2018030112 06   19.3 26434 -53.4 -89.4 294   8.8   0
466920 2018030112 02   18.9 26562 -50.8 -88.4 263   7.1   0
466920 2018030112 06   18.8 26609 -50.9 -88.1 253   7.0   0
466920 2018030112 06   17.8 26980 -52.6 -87.8 269   8.5   0
466920 2018030112 02   17.5 27068 -52.9 -88.1 267   8.9   0
466920 2018030112 06   16.7 27368 -51.5 -87.8 256  11.9   0
466920 2018030112 06   16.0 27662 -52.0 -88.1 279  14.5   0
466920 2018030112 02   15.0 28070 -52.0 -88.4 275  14.9   0
466920 2018030112 06   14.8 28167 -50.5 -87.9 274  14.7   0
466920 2018030112 02   13.4 28830 -46.2 -85.4 294  15.2   0
466920 2018030112 06   12.6 29208 -47.4 -86.0 300  16.5   0
466920 2018030112 02   11.7 29711 -48.6 -87.0 294  14.8   0
466920 2018030112 20   10.4 30516 -43.2 -83.4 285  13.4   0
466920 2018030200 01 1012.3 00011  19.5  16.9 212   0.7  85
466920 2018030200 10 1000.0 00115  20.1  16.9 332   1.3  81
466920 2018030200 02  982.3 00270  19.6  16.0 161   1.3  79
466920 2018030200 02  969.2 00386  21.7  13.2 212   1.4  58
466920 2018030200 06  941.9 00633  20.0  11.6 237   5.3  58
466920 2018030200 02  936.3 00684  19.6  10.9 236   5.5  57
466920 2018030200 10  925.0 00792  18.7  10.4 229   4.4  58
466920 2018030200 06  900.2 01022  16.5  11.2 242   5.2  70
466920 2018030200 02  853.7 01472  12.3  12.2 227   6.2  99
466920 2018030200 06  851.8 01489  12.2  12.2 227   6.3 100
466920 2018030200 10  850.0 01508  12.2  12.2 227   6.4 100
466920 2018030200 06  823.7 01771  11.4  11.4 241  14.3  99
466920 2018030200 02  780.3 02222   8.4   7.9 235  15.2  96
466920 2018030200 02  766.1 02373   9.0   3.4 233  15.0  67
466920 2018030200 06  755.5 02490   8.6   3.1 232  16.0  67
466920 2018030200 04  713.4 02962   5.3   4.4 248  14.1  94
466920 2018030200 02  712.4 02975   5.2   4.4 248  14.2  95
466920 2018030200 02  706.5 03042   5.2   0.3 253  15.6  70
466920 2018030200 10  700.0 03118   4.9   0.2 259  17.9  71
466920 2018030200 06  690.6 03228   4.5  -0.3 265  19.9  70
466920 2018030200 02  675.0 03414   3.2  -2.2 264  22.7  67
466920 2018030200 06  655.4 03652   1.5  -3.3 259  25.2  70
466920 2018030200 02  642.8 03808   0.7  -7.2 255  23.5  55
466920 2018030200 02  577.9 04652  -7.0  -9.7 259  19.7  80
466920 2018030200 06  576.0 04677  -6.5 -12.1 259  19.4  64
466920 2018030200 02  575.1 04691  -6.3 -13.2 259  19.2  58
466920 2018030200 02  566.8 04805  -6.5 -14.6 272  17.4  52
466920 2018030200 04  565.5 04822  -5.7 -17.4 275  17.4  39
466920 2018030200 02  560.9 04887  -2.8 -40.6 283  17.6   3
466920 2018030200 02  560.4 04892  -2.8 -40.2 284  17.6   3
466920 2018030200 06  560.0 04898  -2.8 -39.9 284  17.7   3
466920 2018030200 10  500.0 05784  -9.5 -46.6 279  20.0   3
466920 2018030200 02  457.0 06473 -15.5 -50.9 266  22.7   3
466920 2018030200 04  455.1 06502 -15.7 -51.1 266  22.8   3
466920 2018030200 06  430.5 06920 -17.9 -51.7 259  31.5   3
466920 2018030200 02  422.1 07068 -18.2 -48.1 262  35.1   5
466920 2018030200 10  400.0 07467 -19.1 -36.0 265  41.3  21
466920 2018030200 02  398.2 07499 -19.2 -33.7 265  42.0  26
466920 2018030200 04  384.6 07759 -21.5 -32.4 266  44.4  36
466920 2018030200 02  347.4 08498 -28.7 -31.4 263  43.4  78
466920 2018030200 02  346.0 08526 -28.9 -32.9 262  42.7  68
466920 2018030200 02  345.7 08533 -28.8 -34.0 262  42.7  61
466920 2018030200 02  344.4 08559 -26.8 -57.1 262  42.7   4
466920 2018030200 02  343.5 08578 -25.4 -71.9 262  43.0   0
466920 2018030200 02  333.6 08790 -23.8 -63.8 263  48.6   1
466920 2018030200 04  309.7 09328 -28.2 -64.3 267  49.2   1
466920 2018030200 10  300.0 09555 -29.9 -64.8 265  47.8   2
466920 2018030200 10  250.0 10828 -40.1 -68.1 260  46.9   3
466920 2018030200 02  214.6 11851 -49.2 -71.7 260  48.9   5
466920 2018030200 05  209.0 12020 -50.4 -71.3 261  49.5   7
466920 2018030200 10  200.0 12308 -51.6 -76.7 263  46.4   3
466920 2018030200 02  182.2 12906 -55.9 -79.0 266  44.6   4
466920 2018030200 10  150.0 14115 -65.9 -83.5 261  40.6   7
466920 2018030200 02  143.5 14384 -68.2 -84.2 259  43.5   9
466920 2018030200 06  123.5 15270 -73.4 -87.1 268  36.1  11
466920 2018030200 02  111.3 15874 -76.3 -88.2 255  33.3  15
466920 2018030200 04  111.2 15881 -76.3 -88.2 255  33.3  15
466920 2018030200 02  100.1 16488 -78.5 -88.5 245  36.4  20
466920 2018030200 10  100.0 16491 -78.6 -88.5 245  36.4  20
466920 2018030200 06   90.6 17047 -81.5 -89.8 263  32.3  25
466920 2018030200 06   83.0 17538 -83.2 -91.0 256  33.0  27
466920 2018030200 03   80.2 17725 -83.8 -91.6 264  32.6  26
466920 2018030200 06   76.9 17958 -82.9 -92.1 273  31.5  21
466920 2018030200 02   76.5 17991 -82.9 -92.3 275  30.9  20
466920 2018030200 02   73.9 18186 -78.8 -90.6 280  26.5  14
466920 2018030200 02   71.1 18398 -79.5 -92.1 277  26.0  12
466920 2018030200 10   70.0 18491 -77.9 -92.9 276  24.3   8
466920 2018030200 06   69.7 18512 -77.5 -93.1 275  23.8   7
466920 2018030200 02   68.5 18612 -75.2 -94.9 273  17.0   3
466920 2018030200 02   67.3 18712 -69.8 -93.3 272   9.5   2
466920 2018030200 06   67.2 18720 -69.8 -93.5 271   9.1   2
466920 2018030200 04   65.0 18922 -71.3 -95.8 240   5.3   1
466920 2018030200 06   64.0 19010 -72.1 -93.7 222   6.2   3
466920 2018030200 06   61.4 19256 -73.6 -91.5 231   9.5   5
466920 2018030200 02   60.3 19362 -73.9 -91.6 219  11.0   5
466920 2018030200 06   59.5 19440 -73.4 -91.4 215  12.5   5
466920 2018030200 02   56.6 19733 -70.1 -91.9 251  14.3   3
466920 2018030200 06   53.9 20021 -69.9 -91.8 276  13.0   3
466920 2018030200 06   51.8 20259 -70.6 -91.3 286  16.6   3
466920 2018030200 16   50.0 20473 -70.7 -91.3 290  14.6   3
466920 2018030200 02   49.4 20544 -70.9 -91.7 282  13.2   3
466920 2018030200 06   48.4 20669 -69.9 -93.1 261  13.2   2
466920 2018030200 02   48.3 20681 -69.8 -93.3 261  13.3   2
466920 2018030200 02   47.5 20783 -65.4 -92.7 262  13.9   1
466920 2018030200 02   39.8 21857 -61.3 -90.4 268  14.0   1
466920 2018030200 06   37.6 22219 -61.8 -89.9 280  10.7   1
466920 2018030200 02   37.3 22269 -62.0 -90.1 279  10.7   1
466920 2018030200 06   35.7 22530 -61.8 -90.4 247  12.2   1
466920 2018030200 06   32.7 23093 -60.6 -89.9 276  10.5   1
466920 2018030200 06   30.6 23490 -58.2 -89.3 252   9.1   1
466920 2018030200 10   30.0 23624 -57.2 -89.0 227   8.0   0
466920 2018030200 02   29.8 23664 -56.7 -88.4 219   8.1   1
466920 2018030200 06   29.7 23688 -56.7 -88.3 216   8.2   1
466920 2018030200 06   28.5 23939 -58.7 -87.9 222   6.9   1
466920 2018030200 04   26.9 24311 -58.7 -88.5 261   5.3   1
466920 2018030200 06   26.0 24531 -59.0 -88.8 282   5.7   1
466920 2018030200 06   24.1 24997 -58.1 -87.8 298   7.2   1
466920 2018030200 02   23.6 25143 -58.5 -88.3 298   7.5   1
466920 2018030200 06   22.4 25450 -56.2 -88.3 288   7.6   0
466920 2018030200 04   21.1 25849 -54.1 -86.5 252   8.5   1
466920 2018030200 10   20.0 26188 -51.4 -86.0 220  13.9   0
466920 2018030200 02   19.8 26248 -51.0 -85.5 216  15.5   0
466920 2018030200 06   19.2 26451 -52.4 -85.4 206  22.1   1
466920 2018030200 06   19.2 26458 -52.5 -85.4 279   5.6   1
466920 2018030200 06   18.9 26552 -53.1 -85.7 283   5.0   1
466920 2018030200 06   18.2 26814 -53.1 -85.6 231   5.5   1
466920 2018030200 02   17.9 26901 -53.4 -85.9 223   5.8   1
466920 2018030200 06   17.7 26961 -53.1 -85.9 221   5.5   1
466920 2018030200 06   17.0 27228 -52.6 -85.9 242   5.0   0
466920 2018030200 06   14.9 28079 -50.8 -85.1 256   8.5   0
466920 2018030200 20   10.5 30377 -44.7 -82.7 999 999.9   0
466920 2018030212 01 1010.4 00011  21.3  16.9 189   0.9  76
466920 2018030212 10 1000.0 00099  20.5  17.4 311   0.4  82
466920 2018030212 02  971.0 00355  19.6  17.2 223   1.3  86
466920 2018030212 02  949.7 00546  20.2  16.5 123   0.7  79
466920 2018030212 10  925.0 00775  18.2  16.0 106   2.4  86
466920 2018030212 06  877.9 01220  16.1  14.7 227   5.1  91
466920 2018030212 10  850.0 01496  14.3  13.4 223   7.5  94
466920 2018030212 06  837.4 01622  13.6  13.3 214   7.3  98
466920 2018030212 02  830.6 01691  13.1  13.1 218   7.5 100
466920 2018030212 02  817.9 01822  12.3  10.8 228  10.7  90
466920 2018030212 02  810.1 01902  13.4   8.8 232  10.9  74
466920 2018030212 02  801.4 01993  13.1   7.0 231  10.1  66
466920 2018030212 06  751.8 02530  10.0   4.6 246  11.1  69
466920 2018030212 02  737.7 02686   9.5   2.7 243  13.1  62
466920 2018030212 10  700.0 03117   6.0   1.7 248  15.7  73
466920 2018030212 04  628.9 03983  -1.6  -3.0 248  20.0  90
466920 2018030212 02  626.1 04022  -1.9  -3.7 249  19.8  87
466920 2018030212 02  621.3 04084  -0.3 -14.4 251  18.7  33
466920 2018030212 02  610.9 04215   1.4 -42.4 251  17.0   2
466920 2018030212 06  558.9 04929  -2.6 -40.8 249  18.0   3
466920 2018030212 10  500.0 05800  -8.9 -40.9 260  25.0   5
466920 2018030212 06  492.0 05924 -10.0 -41.0 265  24.9   5
466920 2018030212 02  478.2 06141 -11.7 -40.3 268  29.7   7
466920 2018030212 04  454.5 06530 -12.9 -35.0 261  38.5  13
466920 2018030212 02  446.9 06659 -13.4 -32.9 262  38.9  17
